model,count,avg_luminance,std_luminance,min_luminance,max_luminance,p10_luminance,p90_luminance,contrast_score,avg_r,avg_g,avg_b,avg_component_r,avg_component_tt,avg_component_trt
Color-Variation,2000,0.061107,0.016170,0.033500,0.174800,0.039000,0.082600,0.043600,0.084892,0.056639,0.035319,,,
Cook-Torrance,2000,0.035385,0.021899,0.000000,0.091100,0.000000,0.065200,0.065200,0.049166,0.032791,0.020509,0.000039,0.000000,0.000000
Dual-Scattering-Approx,2000,0.105263,0.025778,0.097700,0.337800,0.098200,0.106800,0.008600,0.146307,0.097538,0.060962,0.014260,0.043186,0.291051
Kajiya-Kay,2000,0.049711,0.015604,0.048300,0.457700,0.048300,0.048300,0.000000,0.068804,0.046171,0.029168,0.002265,0.000000,0.000000
Marschner-Approx,2000,0.484465,0.304228,0.106000,0.992400,0.131640,0.984010,0.852370,0.546337,0.474980,0.396236,0.410495,0.264018,0.164374
Marschner-Param,2000,0.036890,0.020103,0.031100,0.192800,0.031100,0.040260,0.009160,0.051116,0.034205,0.021537,0.000663,0.031063,0.003783
dEon-Energy-Conserving-Approx,2000,0.032208,0.018553,0.026900,0.189200,0.027000,0.035430,0.008430,0.045420,0.029727,0.017881,0.000631,0.025967,0.003476
